""	"rateTrain"	"rateAirplane"	"Attractiveness"	"ManipDest"	"ManipInfo"	"ManipTax"	"PreferTrain"	"PreferAirplane"	"ImportPrice"	"ImportTime"	"ImportComfort"	"SchipholTrain"	"SchipholCar"	"CO2Comp"	"CO2Comp5E"	"CO2Comp7E"	"CO2CompMax"	"Nep01"	"Nep02"	"Nep03"	"Nep04"	"Nep05"	"Bif01"	"Bif02"	"Bif03"	"Bif04"	"Bif05"	"Bif06"	"Bif07"	"Guilt01"	"Guilt02"	"Guilt03"	"Guilt04"	"Guilt05"	"Big01"	"Big02"	"Big03"	"Big04"	"Big05"	"Big06"	"Big07"	"Big08"	"Big09"	"Big10"	"dGender"	"YrBirth"	"dIBA"	"SatFac"	"HrPWork"	"HrVWork"	"HrClass"	"HrStud"	"cLiving"	"cLocate"	"dPreMas"	"dSports"	"dFraternity"	"dAssoc"	"dAbroad"	"CheckDest"	"CheckInfo"	"CheckTax"	"avgEnvironBelief"	"avgGuiltFeel"	"avgPersonal"	"f.ManipInfo"
"1"	9	91	20	"Marseille"	1	3	20	80	10	50	40	3	2	2	1	1	10	6	5	1	2	7	2	1	1	1	2	1	1	1	2	5	4	5	4	2	4	5	4	4	4	3	1	5	1	1996	1	75	15	0	4	1	4	2	2	1	2	2	1	3	2	3	5.8	1.4	3.125	"Yes"
"2"	13	87	72	"Berlin"	2	2	40	66	43	77	63	2	2	1	1	2	5	5	1	2	7	6	2	1	1	1	1	1	1	1	2	5	3	4	3	5	4	3	5	5	2	4	4	3	1	1997	1	70	0	0	8	15	4	3	1	1	2	2	2	2	1	2	5	1.8	3.5	"No"
"3"	40	80	80	"Londen"	2	2	20	90	65	65	40	4	3	1	1	1	20	5	4	3	5	7	1	1	2	2	2	2	1	4	4	1	2	1	4	4	4	2	4	5	3	4	4	5	2	2000	1	65	10	0	12	8	3	4	2	2	2	2	2	1	1	2	4.8	4.4	3	"No"
"4"	40	87	75	"Londen"	1	1	10	80	80	60	20	3	4	1	1	1	10	4	6	3	3	5	2	2	1	1	2	1	1	1	1	4	3	4	2	5	1	5	4	5	2	4	1	4	2	2000	1	65	9	5	4	10	1	4	2	1	1	2	2	1	2	1	4.2	1.8	4.625	"Yes"
"5"	20	70	48	"Marseille"	1	1	66	34	68	41	8	2	4	2	2	2	150	3	5	2	3	6	2	1	2	2	1	2	2	1	3	5	4	5	4	3	3	2	3	3	3	3	2	3	1	1999	1	70	12	0	8	7	3	2	2	1	2	1	2	3	2	1	4.6	1.6	2.875	"Yes"
"6"	25	90	85	"Marseille"	2	2	100	NA	90	40	50	2	2	1	1	1	15	5	2	1	5	6	1	1	1	1	1	1	1	4	4	2	2	2	3	4	2	4	3	4	3	3	2	5	2	1993	1	81	30	0	10	12	4	2	1	1	2	2	1	3	1	2	5.4	4	3.625	"No"
"7"	10	90	50	"Londen"	1	3	20	80	60	25	15	3	5	2	2	2	5	6	5	3	3	5	1	1	1	1	2	2	2	5	5	3	3	2	3	3	3	3	4	4	3	3	4	4	1	1999	2	100	0	0	10	5	1	1	2	2	2	2	2	1	1	3	4.8	4	3	"Yes"
"8"	11	100	74	"Marseille"	2	1	1	82	48	57	31	1	1	1	1	1	20	5	2	3	4	5	2	1	1	2	1	1	1	3	4	2	2	1	2	3	4	3	2	5	3	4	4	4	2	2000	1	65	5	0	15	20	1	1	2	1	1	2	2	3	1	1	5	4	3.25	"No"
"9"	50	70	65	"Londen"	2	2	50	50	70	50	50	4	4	2	1	1	10	7	3	2	6	6	1	2	2	2	2	2	2	1	3	2	4	1	4	4	4	4	2	4	1	5	4	5	1	2000	1	75	5	0	10	10	2	2	2	1	2	2	2	1	1	2	5.2	3	3.5	"No"
"10"	20	90	70	"Londen"	2	1	80	40	80	50	60	3	2	1	2	2	3	2	3	2	2	5	1	2	2	1	2	1	2	1	1	5	5	5	4	2	4	1	5	2	4	4	5	5	2	1994	1	80	16	0	12	28	3	1	1	2	2	2	1	1	1	1	4.8	1	2	"No"
"11"	0	100	65	"Marseille"	2	1	60	43	63	64	38	1	5	2	1	1	15	5	3	2	5	5	1	1	2	1	1	1	2	1	2	4	4	5	3	4	2	2	2	4	2	5	4	4	1	1999	1	65	0	0	6	14	2	3	2	1	2	1	2	3	1	1	4.8	1.6	3.5	"No"
"12"	0	100	100	"Londen"	2	2	30	70	90	80	70	4	4	1	1	1	10	5	2	2	5	5	1	2	1	1	2	2	1	2	1	4	2	3	2	4	4	3	2	4	1	4	4	4	2	1998	1	70	0	0	10	15	3	3	2	1	2	2	2	1	1	2	5	2.4	3.5	"No"
"13"	40	60	80	"Berlin"	2	2	40	60	70	71	50	1	4	1	1	1	10	7	5	1	3	7	2	2	2	1	1	1	2	1	4	3	2	2	4	4	2	4	5	4	2	5	1	4	1	1999	2	65	24	10	6	24	2	1	2	1	2	1	1	2	2	2	5.8	3.2	4	"No"
"14"	20	100	55	"Berlin"	1	3	82	64	100	60	72	4	3	2	2	2	0	6	3	1	5	6	1	1	2	1	1	1	1	1	1	5	5	5	2	4	4	5	3	4	2	3	2	4	2	1998	1	80	8	0	4	4	5	4	2	2	1	2	2	2	2	3	5.4	1	3.75	"Yes"
"15"	2	100	72	"Marseille"	1	3	11	100	62	94	63	3	4	2	2	2	0	5	6	5	5	4	1	2	2	1	2	1	1	1	1	5	5	5	4	4	4	2	2	4	3	4	5	5	1	2000	1	48	40	20	10	5	3	4	2	1	2	2	2	3	2	1	3.4	1	2.75	"Yes"
"16"	13	83	63	"Marseille"	2	3	50	50	94	66	36	3	4	1	1	1	10	5	2	3	3	5	2	1	2	1	1	2	2	2	4	4	4	4	4	5	5	2	4	3	2	2	3	4	1	1998	1	51	20	2	4	10	3	3	2	1	2	2	2	3	1	2	5.2	2.4	2.75	"No"
"17"	50	80	80	"Berlin"	2	3	30	70	30	60	50	3	2	2	2	2	4	2	5	2	5	6	1	1	2	2	1	2	2	1	2	3	2	4	2	4	2	3	4	5	2	3	4	3	2	2000	2	68	0	0	12	10	3	2	2	1	2	1	2	2	1	2	4	2.4	3.625	"No"
"18"	60	88	30	"Marseille"	1	2	92	59	73	73	44	1	1	1	1	1	15	6	1	2	5	6	2	1	2	1	1	1	2	4	4	2	2	2	1	4	2	4	4	5	3	4	2	4	2	1995	1	73	16	0	4	30	2	1	1	2	2	2	1	3	2	2	5.6	4	4.125	"Yes"
